week,gameId,opponent,perspective,metric,actual,expectedLOO,poe,supported
8,401752744,South Carolina,offense,explosivePlayRate,0.09230769230769231,0.10123123316519919,-0.008923540857506879,True
8,401752744,South Carolina,defense,explosivePlayRate,0.04838709677419355,0.11046766969748595,0.0620805729232924,True
8,401752744,South Carolina,offense,yardsPerPlay,5.121212121212121,5.1658359839221175,-0.04462386270999641,True
8,401752744,South Carolina,defense,yardsPerPlay,3.7142857142857144,4.9839123522116235,1.2696266379259091,True
9,401752750,Ole Miss,offense,successRate,0.3275862068965517,0.4079278293742738,-0.08034162247772209,True
9,401752750,Ole Miss,defense,successRate,0.32941176470588235,0.36854811061778475,0.039136345911902404,True
9,401752750,Ole Miss,offense,rushSuccessRate,0.391304347826087,0.42239324661012057,-0.031088898784033592,True
9,401752750,Ole Miss,defense,rushSuccessRate,0.28205128205128205,0.34498784928023246,0.06293656722895041,True
9,401752750,Ole Miss,offense,passSuccessRate,0.2857142857142857,0.401671963193282,-0.11595767747899632,True
9,401752750,Ole Miss,defense,passSuccessRate,0.3695652173913043,0.41131753262456383,0.04175231523325951,True
9,401752750,Ole Miss,offense,explosivePlayRate,0.08620689655172414,0.11397846670390259,-0.027771570152178446,True
9,401752750,Ole Miss,defense,explosivePlayRate,0.12790697674418605,0.09829041572800275,-0.029616561016183304,True
9,401752750,Ole Miss,offense,yardsPerPlay,6.389830508474576,5.422252173317385,0.9675783351571914,True
9,401752750,Ole Miss,defense,yardsPerPlay,4.930232558139535,5.5445246466627855,0.6142920885232508,True
10,401752757,Tennessee,offense,successRate,0.4576271186440678,0.43326180225891786,0.024365316385149938,True
10,401752757,Tennessee,defense,successRate,0.4246575342465753,0.385103759778471,-0.03955377446810432,True
10,401752757,Tennessee,offense,rushSuccessRate,0.45161290322580644,0.4396222224844397,0.011990680741366722,True
10,401752757,Tennessee,defense,rushSuccessRate,0.3,0.391887290947339,0.091887290947339,True
10,401752757,Tennessee,offense,passSuccessRate,0.4642857142857143,0.416895466871559,0.04739024741415532,True
10,401752757,Tennessee,defense,passSuccessRate,0.5116279069767442,0.40036106370552027,-0.11126684327122394,True
10,401752757,Tennessee,offense,explosivePlayRate,0.06779661016949153,0.11312793473825689,-0.04533132456876536,True
10,401752757,Tennessee,defense,explosivePlayRate,0.0821917808219178,0.09294645766181357,0.010754676839895769,True
10,401752757,Tennessee,offense,yardsPerPlay,5.114754098360656,5.760344110212777,-0.6455900118521205,True
10,401752757,Tennessee,defense,yardsPerPlay,5.987012987012987,5.261555149911575,-0.7254578371014118,True
12,401752765,Alabama,offense,successRate,0.2978723404255319,0.3726961191267287,-0.07482377870119677,True
12,401752765,Alabama,defense,successRate,0.4722222222222222,0.3317914285894909,-0.1404307936327313,True
12,401752765,Alabama,offense,rushSuccessRate,0.2,0.3818538361600332,-0.1818538361600332,True
12,401752765,Alabama,defense,rushSuccessRate,0.4482758620689655,0.30620465725766666,-0.14207120481129887,True
12,401752765,Alabama,offense,passSuccessRate,0.4090909090909091,0.37588249295295695,0.03320841613795217,True
12,401752765,Alabama,defense,passSuccessRate,0.4883720930232558,0.3842109835508193,-0.10416110947243651,True
12,401752765,Alabama,offense,explosivePlayRate,0.0851063829787234,0.09476005700426568,-0.009653674025542278,True
12,401752765,Alabama,defense,explosivePlayRate,0.08333333333333333,0.09470586172563429,0.011372528392300962,True
12,401752765,Alabama,offense,yardsPerPlay,4.3,4.788714906718731,-0.4887149067187311,True
12,401752765,Alabama,defense,yardsPerPlay,5.583333333333333,4.797901277557687,-0.7854320557756465,True
