id,name,position,position_group,roster_year,roster_year_label,height,weight,status,transfer_origin,transfer_rating,transfer_stars,transfer_date,transfer_eligibility
5146426,Hayden Treter,OL,OL,2,Roster year 2,78,320,returning,,,,,
5146757,Zacharyus Williams,WR,WR,2,Roster year 2,74,200,returning,,,,,
5146857,Elijah Newby,LB,LB,2,Roster year 2,75,235,returning,,,,,
5146888,Ratumana Bulabalavu,OL,OL,2,Roster year 2,75,325,returning,,,,,
5146986,Chasen Johnson,CB,DB,2,Roster year 2,73,195,returning,,,,,
5148664,Corey Simms,WR,WR,2,Roster year 2,75,205,returning,,,,,
5148844,Jadyn Walker,LB,LB,2,Roster year 2,74,240,returning,,,,,
5151282,Ethan Brougham,DE,DL,3,Roster year 3,74,245,new_other,,,,,
5152637,GianCarlo Rufo,LB,LB,4,Roster year 4,74,230,transfer_in,Georgetown,0.8,3,2026-02-06T23:34:00.000Z,Immediate
5158934,Shahn Alston,RB,RB,1,Roster year 1,70,220,new_other,,,,,
